cpg,p.value,stderr,parameter,statistic,group1,group2,conf1,conf2,CHR,BP,SYMBOL
cg23041045,1.13E-06,0.008046144,95.61384651,-5.200822958,0.031127952,0.072974523,-0.057818864,-0.025874278,chr1,109255480,FNDC7
cg08854306,1.31E-06,0.002426798,115.5065766,-5.105305406,0.012106274,0.024495819,-0.017196341,-0.007582749,chr4,91048557,CCSER1
cg05191076,1.39E-06,0.004073209,108.8904678,-5.108563113,0.017902926,0.038711172,-0.028881305,-0.012735187,chr4,66536186,EPHA5-AS1
cg07281879,1.56E-06,0.002074647,120.7652111,-5.052992588,0.010548725,0.021031902,-0.014590568,-0.006375785,chr11,32459626,WT1-AS
cg03117976,1.57E-06,0.0033212,115.8054549,-5.063364865,0.016988032,0.033804481,-0.023394621,-0.010238277,chr18,11149435,PIEZO2
cg22784954,1.63E-06,0.006797136,97.27995526,-5.106353595,0.024672083,0.059380662,-0.048198522,-0.021218636,chr5,5140646,ADAMTS16
cg03408556,1.65E-06,0.002425481,96.20091799,-5.107211995,0.009341384,0.021728831,-0.017201862,-0.007573033,chr1,247274709,C1orf229
cg13632816,1.70E-06,0.005185519,108.653943,-5.061988793,0.024777932,0.051026972,-0.036526938,-0.015971142,chr9,113341925,SVEP1
cg18468088,1.74E-06,0.00320332,118.4398633,-5.032659936,0.020410742,0.036531961,-0.022464419,-0.009778017,chr6,35490818,TULP1
cg00458965,1.74E-06,0.004969729,103.7145601,-5.070233433,0.021165057,0.046362746,-0.035053168,-0.015342209,chr17,35297309,LHX1
cg11039614,1.83E-06,0.003025624,130.7869271,-4.997082095,0.014422007,0.0295413,-0.021104789,-0.009133795,chr5,50679151,ISL1
cg26885821,2.11E-06,0.003382979,115.100444,-4.995933415,0.012116566,0.029017703,-0.023602104,-0.010200169,chr6,124125002,NKAIN2
cg20483324,2.30E-06,0.00433102,104.1604602,-5.003245234,0.019729242,0.041398397,-0.030257574,-0.013080735,chr13,46189838,ERICH6B
cg21245277,2.47E-06,0.004031379,105.2821816,-4.983223156,0.016826737,0.036915997,-0.028082491,-0.012096031,chr2,185463218,ZNF804A
cg02916102,2.51E-06,0.002728863,105.9183424,-4.977669551,0.011030709,0.02461409,-0.018993666,-0.008173095,chr15,74658244,CYP11A1
cg23695504,2.71E-06,0.005310479,103.9382062,-4.964501323,0.020517534,0.046881415,-0.036894834,-0.015832928,chr1,247275344,C1orf229
cg04226749,2.86E-06,0.003805128,101.674049,-4.958057509,0.016950716,0.03581676,-0.026413787,-0.0113183,chr1,220921859,MTARC2
cg10253929,3.03E-06,0.001793295,112.251044,-4.916487958,0.010427468,0.019244183,-0.012369813,-0.005263617,chr19,41106155,LTBP4
cg10150592,3.11E-06,0.002648309,135.7006812,-4.865872205,0.016723864,0.029610198,-0.01812363,-0.007649038,chr10,102440856,PAX2
cg23005885,3.29E-06,0.004406003,88.2274165,-4.967851515,0.010895405,0.032783771,-0.030644056,-0.013132677,chr15,90543450,ZNF710
cg10652393,3.67E-06,0.004657694,103.7612464,-4.891988525,0.021004548,0.043789932,-0.032022015,-0.013548752,chr15,27112430,GABRA5
cg22043168,3.71E-06,0.003609517,110.7680078,-4.871617967,0.018835318,0.036419506,-0.024736851,-0.010431523,chr11,27741077,BDNF
cg01499217,4.02E-06,0.003077074,94.64764187,-4.896053129,0.011846416,0.026911933,-0.021174574,-0.00895646,chr18,10454681,APCDD1
cg06507579,4.15E-06,0.00425433,120.4258066,-4.82475695,0.018058375,0.038584483,-0.028949083,-0.012103134,chr7,1282819,UNCX
cg12057741,4.21E-06,0.002375959,115.5093301,-4.831269243,0.009566252,0.021045151,-0.016184997,-0.006772802,chr8,119964124,TNFRSF11B
cg03625177,4.43E-06,0.003286091,124.0624413,-4.802324531,0.017379059,0.033159936,-0.02228494,-0.009276814,chr5,135364556,TGFBI
cg20522387,4.99E-06,0.002504243,106.3952742,-4.810635334,0.011289115,0.023336114,-0.017011691,-0.007082307,chr3,61548172,PTPRG
cg08186362,5.23E-06,0.00427004,114.7760257,-4.780434182,0.01748051,0.037893157,-0.028870951,-0.011954344,chr20,60794868,HRH3
cg01580681,5.31E-06,0.003030981,145.7919145,-4.727191858,0.017664965,0.031992995,-0.020318368,-0.008337692,chr4,174450016,HAND2
cg27458987,5.45E-06,0.003536795,104.9604487,-4.792354594,0.013992799,0.030942376,-0.023962419,-0.009936734,chr12,33050050,PKP2
cg08272731,6.03E-06,0.006415473,110.5924179,-4.754558968,0.02595996,0.056462704,-0.043215949,-0.01778954,chr1,75602167,LHX8
cg06571075,6.30E-06,0.004254762,127.6147446,-4.712574908,0.022925747,0.04297663,-0.028469898,-0.011631868,chr20,13976143,MACROD2
cg20555682,6.36E-06,0.00330261,121.328868,-4.720762861,0.014523644,0.030114483,-0.022129048,-0.00905263,chr11,8290308,LMO1
cg18556788,6.45E-06,0.006933071,85.23554621,-4.809707845,0.016001294,0.049347342,-0.047130301,-0.019561794,chr18,6414974,L3MBTL4
cg25230111,6.62E-06,0.003113882,95.86483441,-4.768371156,0.010002991,0.024851138,-0.021029267,-0.008667028,chr19,56159817,CCDC106
cg07780095,6.64E-06,0.004071063,117.5433305,-4.717237578,0.02011971,0.039323882,-0.027266309,-0.011142034,chr12,85674296,ALX1
cg14165051,6.67E-06,0.003385228,99.44947069,-4.756779299,0.012964403,0.029067188,-0.022819436,-0.009386132,chr2,230135879,PID1
cg24150172,6.76E-06,0.002533003,121.1661471,-4.706280288,0.0123578,0.024278824,-0.016935702,-0.006906345,chr8,55372111,SOX17
cg17688525,6.95E-06,0.008215118,104.1247064,-4.734839956,0.028247975,0.067145244,-0.055187927,-0.022606611,chr18,6414978,L3MBTL4
cg04256347,7.32E-06,0.003901461,103.0697255,-4.724349815,0.015536487,0.033968351,-0.026169429,-0.0106943,chr4,141677674,TBC1D9
cg04928005,7.39E-06,0.003106494,101.9174971,-4.724930406,0.014035048,0.028713014,-0.020839742,-0.008516191,chr3,24536812,THRB-AS1
cg04832325,7.41E-06,0.004125991,119.7035074,-4.686706954,0.019938007,0.039275318,-0.027506693,-0.01116793,chr11,126607483,KIRREL3
cg04363624,7.70E-06,0.001786384,117.7921129,-4.680895694,0.009490189,0.017852067,-0.011899471,-0.004824287,chr1,47697965,STIL
cg02300154,8.27E-06,0.003519966,121.1213033,-4.657561306,0.014054131,0.030448587,-0.023363086,-0.009425826,chr7,70597058,GALNT17
cg22665692,8.31E-06,0.004463523,115.2084481,-4.667045929,0.019829783,0.040661251,-0.029672679,-0.011990258,chr10,128593943,DOCK1
cg14604568,8.56E-06,0.003482423,100.8982507,-4.690859381,0.014714854,0.03105041,-0.023243831,-0.009427281,chr7,32110523,PDE1C
cg03450948,8.58E-06,0.004135518,128.0017954,-4.637497899,0.020131162,0.039309617,-0.027361282,-0.010995628,chr2,177053274,HAGLR
cg24621437,8.74E-06,0.006185106,133.2590963,-4.625574363,0.032975365,0.061585035,-0.040843352,-0.016375987,chr10,108924560,SORCS1
cg09797337,8.93E-06,0.004951192,119.5973229,-4.641610871,0.026800383,0.049781889,-0.032784857,-0.013178154,chr13,112709538,SOX1
cg19940537,9.12E-06,0.002763376,128.478383,-4.622189516,0.013084967,0.025857813,-0.018240462,-0.007305229,chr10,60272938,BICC1
cg02318971,9.53E-06,0.003128084,122.0344889,-4.621552841,0.016179912,0.030636519,-0.020648944,-0.008264269,chr11,64739714,MAJIN
cg08233654,9.67E-06,0.002839265,125.5046786,-4.612376566,0.012586674,0.025682432,-0.018714796,-0.007476722,chr2,241938436,SNED1
cg09874822,9.70E-06,0.002500239,105.2434606,-4.649383524,0.010461289,0.022085861,-0.016581951,-0.006667192,chr16,1203997,CACNA1H
cg25829666,9.72E-06,0.003054954,106.9115487,-4.645404515,0.012148975,0.026340474,-0.020247647,-0.008135351,chr3,24536880,THRB-AS1
cg02052915,9.88E-06,0.004183217,114.3171653,-4.626416788,0.018526768,0.037880071,-0.027639977,-0.01106663,chr17,46797568,PRAC1
cg13723825,9.89E-06,0.002272312,110.0274461,-4.634540303,0.010324116,0.020855237,-0.015034298,-0.006027945,chr9,8857502,PTPRD
cg17426273,1.01E-05,0.003420795,112.9810766,-4.624112243,0.01697121,0.032789351,-0.022595365,-0.009040916,chr10,21462441,NEBL
cg25797055,1.01E-05,0.001723615,121.7084968,-4.608374913,0.008661004,0.01660407,-0.011355217,-0.004530915,chr4,141490097,UCP1
cg27032146,1.04E-05,0.001753128,127.0001364,-4.593106809,0.009555368,0.017607675,-0.011521431,-0.004583182,chr7,96652115,DLX5
cg17880622,1.06E-05,0.002423133,107.2295253,-4.622782458,0.009681691,0.02088331,-0.01600508,-0.006398157,chr18,31158831,ASXL3
cg21556527,1.06E-05,0.002301571,120.4774577,-4.597815869,0.013222211,0.023804409,-0.015138964,-0.006025432,chr2,218071331,DIRC3
cg10470588,1.08E-05,0.003650762,105.0624714,-4.622612538,0.017619756,0.034495812,-0.024114792,-0.009637321,chr6,75915749,COL12A1
cg19397320,1.08E-05,0.003304782,123.5342289,-4.587869933,0.015076099,0.030238008,-0.02170324,-0.008620577,chr20,11871576,BTBD3
cg18557185,1.13E-05,0.007325878,108.1050698,-4.604270662,0.031473711,0.065204036,-0.048251327,-0.019209324,chr7,27128169,HOXA1
cg17495912,1.17E-05,0.005703861,107.5760188,-4.59855017,0.021503972,0.047733463,-0.037536038,-0.014922944,chr13,37006340,CCNA1
cg10950358,1.17E-05,0.005849102,134.6164306,-4.553782043,0.033547744,0.060183277,-0.038203554,-0.015067512,chr1,147253401,NA
cg18011364,1.20E-05,0.002154873,116.0905623,-4.576032117,0.011001956,0.020862726,-0.014128734,-0.005592807,chr7,103630086,RELN
cg08014499,1.24E-05,0.00658394,108.9650735,-4.580442663,0.029481213,0.059638574,-0.043206563,-0.017108158,chr11,2162545,IGF2
cg10057065,1.24E-05,0.006258113,116.565306,-4.566044178,0.025606304,0.054181123,-0.040969166,-0.016180472,chr1,155292227,RUSC1
cg12123671,1.26E-05,0.005912392,120.3906537,-4.555894745,0.023487287,0.050423523,-0.038641974,-0.015230498,chr6,170605623,DLL1
cg08217024,1.26E-05,0.002269265,133.0197386,-4.537209064,0.01405098,0.024347112,-0.014784645,-0.005807619,chr14,48145108,MDGA2
cg09489306,1.30E-05,0.003304728,132.8303873,-4.529060488,0.019977529,0.034944842,-0.021504013,-0.008430612,chr19,44203913,IRGC
cg05106897,1.31E-05,0.001557151,104.9995679,-4.574286045,0.007755958,0.014878812,-0.010210397,-0.004035311,chr6,34433775,PACSIN1
cg15752343,1.32E-05,0.007754902,103.3326297,-4.575892496,0.027087406,0.062573006,-0.050865032,-0.020106168,chr10,124904190,HMX2
cg22344793,1.33E-05,0.00336712,104.814765,-4.571614361,0.013044928,0.0284381,-0.022069686,-0.008716659,chr11,120039642,TRIM29
cg04103021,1.34E-05,0.007340341,103.1051991,-4.572944221,0.029768716,0.063335687,-0.04812463,-0.019009312,chr4,174441703,HAND2
cg00792966,1.40E-05,0.001788719,115.3706653,-4.537865485,0.008664555,0.01678152,-0.011659952,-0.004573979,chr6,21595983,SOX4
cg25720804,1.42E-05,0.002650184,120.1797605,-4.526381558,0.014660028,0.026655772,-0.017242844,-0.006748644,chr5,170736389,TLX3
cg10689528,1.47E-05,0.002477013,116.1647028,-4.523863022,0.014306003,0.025511672,-0.016111633,-0.006299705,chr8,97169767,GDF6
cg08235864,1.51E-05,0.003745517,108.2037536,-4.533199873,0.015016667,0.031995846,-0.024403286,-0.009555072,chr5,2751822,IRX2
cg07995179,1.51E-05,0.003381083,107.7639258,-4.533831808,0.015493094,0.030822357,-0.022031323,-0.008627203,chr6,85484287,TBX18
cg20232102,1.53E-05,0.003523715,121.6668772,-4.505677877,0.017732178,0.033608903,-0.022852462,-0.008900988,chr19,38747174,PPP1R14A
cg05446424,1.54E-05,0.004427467,94.44117593,-4.558753816,0.015974769,0.0361585,-0.028974035,-0.011393427,chr2,14772734,LRATD1
cg17302155,1.55E-05,0.00488917,119.4876389,-4.50538487,0.020794172,0.042821767,-0.031708235,-0.012346955,chr6,100061111,PRDM13
cg27090062,1.56E-05,0.004784472,107.7441384,-4.525762567,0.021867797,0.043521179,-0.03113729,-0.012169474,chr5,92939842,NR2F1
cg01587896,1.56E-05,0.004914859,116.1202436,-4.509153811,0.022941618,0.045103474,-0.031896247,-0.012427464,chr5,50678925,LOC642366
cg16190732,1.59E-05,0.004374299,110.382231,-4.514675655,0.017832323,0.037580865,-0.028417042,-0.011080041,chr19,34113010,CHST8
cg03031613,1.60E-05,0.007076547,123.3363344,-4.492681706,0.033339201,0.065131873,-0.045799882,-0.017785461,chr18,55018587,ST8SIA3
cg08855288,1.60E-05,0.004403027,101.0569148,-4.532977081,0.020391815,0.040350634,-0.02869318,-0.011224458,chr8,63161589,NKAIN3
cg22075362,1.63E-05,0.003964855,120.6482512,-4.491395928,0.019097929,0.036905662,-0.02565744,-0.009958026,chr2,1238381,SNTG2
cg09595163,1.63E-05,0.002655452,97.30076687,-4.536631085,0.010318087,0.022364894,-0.017316939,-0.006776675,chr3,55515541,WNT5A
cg18363538,1.68E-05,0.003741511,112.5051209,-4.497391406,0.018339775,0.035166814,-0.024239999,-0.009414078,chr15,52587913,MYO5C
cg03031959,1.69E-05,0.002526638,120.9219256,-4.482122601,0.013039901,0.024364601,-0.016326878,-0.006322521,chr9,85677921,RASEF
cg06883126,1.72E-05,0.007143797,97.88406466,-4.521690134,0.025898668,0.058200703,-0.046478876,-0.018125193,chr5,140457585,PCDHB2
cg00851770,1.74E-05,0.002955142,131.5294938,-4.460248933,0.016163209,0.029343877,-0.019026424,-0.007334912,chr18,12254175,CIDEA
cg09619390,1.75E-05,0.006048468,95.91244459,-4.522399785,0.018297299,0.045650887,-0.039359842,-0.015347335,chr2,19553546,OSR1
cg27549952,1.75E-05,0.002764846,118.863203,-4.476241121,0.01510351,0.027479628,-0.017850855,-0.006901382,chr12,88974484,KITLG
cg26259537,1.76E-05,0.001915134,130.0500063,-4.459550205,0.009852464,0.018393102,-0.012329488,-0.004751787,chr7,27209247,HOXA10-HOXA9
cg16701456,1.77E-05,0.002319477,120.5837052,-4.470809124,0.011056307,0.021426247,-0.014962118,-0.005777763,chr4,13546111,NKX3-2
cg03458344,1.77E-05,0.008686654,111.8543515,-4.485296564,0.035897653,0.074859873,-0.056173957,-0.021750484,chr1,170964477,MROH9
cg26721193,1.78E-05,0.002195736,141.1921929,-4.44318833,0.011742825,0.021498896,-0.01409684,-0.005415301,chr8,93114951,RUNX1T1
cg25307168,1.83E-05,0.005007162,122.7324202,-4.45988219,0.02565408,0.047985433,-0.032242938,-0.012419768,chr20,37353035,SLC32A1
cg12997720,1.83E-05,0.00222669,121.6855526,-4.46063972,0.012055174,0.021987638,-0.014340534,-0.005524394,chr7,27225058,HOXA11-AS
cg06845774,1.86E-05,0.008259161,115.1076502,-4.467589808,0.042644185,0.07954273,-0.053258192,-0.020538899,chr4,155470815,PLRG1
cg27570738,1.88E-05,0.005773318,113.6866125,-4.467734479,0.024906452,0.050700106,-0.037230892,-0.014356416,chr12,132675017,GALNT9
cg10145000,1.95E-05,0.011393097,111.4089277,-4.461695197,0.051790191,0.102622715,-0.073407793,-0.028257256,chr1,218390493,RRP15
cg20588045,1.96E-05,0.006832287,113.1262566,-4.457870916,0.030337872,0.060795327,-0.043993284,-0.016921624,chr10,56561096,PCDH15
cg19536810,1.96E-05,0.006133631,108.7597943,-4.465351375,0.022945558,0.050334377,-0.039545779,-0.01523186,chr12,59313817,LRIG3
cg11416384,1.97E-05,0.003013543,132.6272223,-4.428511606,0.015528352,0.028873863,-0.019306336,-0.007384685,chr4,37246827,NWD2
cg11236429,1.98E-05,0.001658436,119.3479664,-4.44556826,0.009379137,0.016751829,-0.010656463,-0.004088921,chr4,174459412,HAND2-AS1
cg10216820,2.00E-05,0.008710698,116.5892166,-4.446410537,0.032444136,0.071175476,-0.055983057,-0.021479624,chr12,72332539,TPH2
cg27044841,2.02E-05,0.003512122,127.249301,-4.428325061,0.018233183,0.033786,-0.022502541,-0.008603093,chr8,8580960,CLDN23
cg09311630,2.03E-05,0.001952224,119.7775266,-4.437731478,0.009234006,0.017897454,-0.01252879,-0.004798106,chr17,79369841,BAHCC1
cg12079322,2.07E-05,0.003446999,122.7500234,-4.428500399,0.017388328,0.032653365,-0.022088299,-0.008441776,chr2,154728468,GALNT13
cg00957641,2.10E-05,0.010061918,110.6034148,-4.444290987,0.042776614,0.087494704,-0.06465724,-0.024778941,chr12,103406953,ASCL1
cg11176737,2.13E-05,0.005225576,118.7826716,-4.428060455,0.024865659,0.048004824,-0.033486521,-0.012791809,chr12,5154148,KCNA5
cg25203704,2.18E-05,0.00276245,107.8889238,-4.440726638,0.012749588,0.025016874,-0.017743005,-0.006791567,chr5,17216922,BASP1-AS1
cg24720355,2.18E-05,0.006992697,108.8345565,-4.438480149,0.029873876,0.060910822,-0.044896481,-0.017177412,chr1,119526255,TBX15
cg06817516,2.20E-05,0.003569426,128.7230246,-4.405142837,0.01851774,0.034241572,-0.022786173,-0.008661491,chr15,45404896,DUOX2
cg07744116,2.20E-05,0.007678422,123.9760221,-4.411307298,0.032286564,0.066158443,-0.049069656,-0.018674102,chr5,2184062,IRX4
cg11831981,2.22E-05,0.00286716,119.4099884,-4.416796283,0.013948837,0.026612496,-0.018340722,-0.006986598,chr15,51973661,SCG3
cg04380107,2.22E-05,0.005038466,115.7504682,-4.421631444,0.020492199,0.042770441,-0.032257786,-0.012298697,chr17,47236224,B4GALNT2
cg06070263,2.30E-05,0.003623907,123.5701808,-4.401113163,0.01953857,0.035487793,-0.023122195,-0.008776251,chr3,147115930,ZIC4
cg17213402,2.31E-05,0.005864861,119.9526564,-4.405164134,0.030773407,0.056609082,-0.037447739,-0.014223612,chr2,5813650,SOX11
cg26626525,2.31E-05,0.001861527,106.8506876,-4.427152487,0.007712491,0.015953753,-0.011931581,-0.004550944,chr19,12163582,ZNF878
cg14487271,2.33E-05,0.01113238,94.85519861,-4.451433739,0.03402728,0.083582333,-0.071656058,-0.027454049,chr8,87354422,WWP1
cg06384763,2.33E-05,0.003485157,122.2703573,-4.400214712,0.017726511,0.03306195,-0.022234502,-0.008436375,chr19,12203198,ZNF788P
cg14352983,2.36E-05,0.006700617,101.0411956,-4.433668111,0.023704815,0.053413128,-0.04300047,-0.016416157,chr18,6414976,L3MBTL4
cg11314471,2.39E-05,0.002556693,112.276353,-4.408688971,0.011787292,0.023058955,-0.016337286,-0.00620604,chr6,28979273,GPX6
cg26306909,2.39E-05,0.003130828,118.895891,-4.397940537,0.013603458,0.027372652,-0.019968601,-0.007569787,chr4,37455485,C4orf19
cg18624900,2.43E-05,0.003637077,108.4347863,-4.411474348,0.016784132,0.032829005,-0.023253863,-0.008835882,chr10,91295643,SLC16A12
cg11980016,2.44E-05,0.002596317,123.3416449,-4.386877673,0.012674642,0.024064366,-0.016528832,-0.006250615,chr3,96532859,EPHA6
cg00010946,2.45E-05,0.00836843,127.61105,-4.380332058,0.035123727,0.071780227,-0.05321535,-0.020097651,chr3,157819282,SHOX2
cg04919596,2.49E-05,0.009915149,100.4043393,-4.421265984,0.035038089,0.078875602,-0.063507917,-0.024167109,chr1,996054,AGRN
cg02582387,2.50E-05,0.003427335,109.5536281,-4.402598519,0.016001047,0.031090229,-0.021881664,-0.0082967,chr1,20879813,FAM43B
cg24773418,2.52E-05,0.003057618,107.3830969,-4.40462836,0.014719643,0.028187314,-0.019528795,-0.007406547,chr14,33402512,NPAS3
cg20515580,2.52E-05,0.004652464,128.70801,-4.371232158,0.021545295,0.041882295,-0.029542213,-0.011131789,chr11,66800566,SYT12
cg23331653,2.54E-05,0.007688261,112.7924384,-4.392469532,0.036110553,0.069881005,-0.049002587,-0.018538317,chr12,1929348,CACNA2D4
cg11664139,2.56E-05,0.007292006,125.9293182,-4.370835374,0.036093922,0.067966081,-0.046302904,-0.017441415,chr2,175204249,SP9
cg09613161,2.57E-05,0.003513352,113.6818751,-4.38796476,0.013618135,0.029034599,-0.022376597,-0.008456333,chr7,51384528,COBL
cg19594305,2.58E-05,0.004696798,119.5374482,-4.378458311,0.017648967,0.038213702,-0.029864435,-0.011265035,chr19,34112991,CHST8
cg14005246,2.61E-05,0.002157838,130.5045213,-4.360915548,0.011973472,0.021383623,-0.013679021,-0.005141281,chr14,54413671,MIR5580
cg26709285,2.64E-05,0.004101201,98.94729712,-4.409594931,0.016403978,0.034488614,-0.026222362,-0.009946909,chr20,48099146,KCNB1
cg26115633,2.65E-05,0.006923601,134.4018862,-4.35207476,0.036243503,0.066375534,-0.043825335,-0.016438727,chr10,129535893,FOXI2
cg05009934,2.66E-05,0.002285441,137.3067823,-4.347892193,0.012967957,0.022904809,-0.014456064,-0.005417639,chr6,123317411,CLVS2
cg19851487,2.68E-05,0.008865548,116.2701113,-4.373852207,0.037732598,0.076509193,-0.056335499,-0.021217691,chr19,49655517,HRC
cg22717014,2.68E-05,0.002739756,120.7608337,-4.366336112,0.014628489,0.026591185,-0.017386875,-0.006538518,chr4,111542473,PITX2
cg16319129,2.69E-05,0.006493683,116.8968941,-4.371252947,0.03305859,0.061444122,-0.04124605,-0.015525014,chr6,91791565,MIR4643
cg12379383,2.70E-05,0.003732838,127.8495676,-4.35523506,0.018743551,0.035000937,-0.023643525,-0.008871245,chr15,96896940,NR2F2
cg18578405,2.72E-05,0.002083025,137.4469431,-4.342391411,0.01062508,0.019670392,-0.013164231,-0.004926391,chr16,12996057,SHISA9
cg11592631,2.74E-05,0.004773,123.5970092,-4.357397817,0.023461847,0.044259709,-0.03024527,-0.011350453,chr2,119470715,EN1
cg12950911,2.75E-05,0.002344726,116.2622011,-4.367268744,0.011975193,0.022215241,-0.014883963,-0.005596134,chr4,180979631,LINC00290
cg24198558,2.75E-05,0.001950773,127.3602228,-4.351443327,0.010948862,0.019437538,-0.012348798,-0.004628554,chr3,132757102,TMEM108
cg05256504,2.76E-05,0.005234946,111.168505,-4.374330245,0.0241163,0.047015684,-0.033272607,-0.012526162,chr7,121947072,FEZF1-AS1
cg12836011,2.78E-05,0.002313824,107.7973764,-4.378363314,0.010869665,0.021000427,-0.014717261,-0.005544264,chr4,166795260,TLL1
cg05673731,2.80E-05,0.006780653,140.2844231,-4.332033998,0.027157302,0.056531323,-0.0427795,-0.015968542,chr1,29565306,PTPRU
cg09617579,2.80E-05,0.003865262,108.5933885,-4.375084083,0.015982969,0.032893815,-0.024571991,-0.0092497,chr11,82444798,FAM181B
cg10655471,2.82E-05,0.008205957,116.3440084,-4.360398752,0.036092051,0.071873298,-0.052033673,-0.01952882,chr19,41025339,SPTBN4
cg15032166,2.83E-05,0.004145025,104.8095065,-4.379537807,0.018040194,0.036193489,-0.026372289,-0.009934302,chr7,155263349,EN2
cg23771603,2.85E-05,0.00332538,131.986527,-4.33675867,0.016519376,0.030940746,-0.020999306,-0.007843434,chr10,26223310,MYO3A
cg18746357,2.92E-05,0.004796979,119.5418882,-4.346891069,0.024837769,0.045689715,-0.030350001,-0.01135389,chr11,65429465,RELA
cg07065111,2.93E-05,0.003920885,136.7644097,-4.324541828,0.019946183,0.036902214,-0.024709431,-0.009202632,chr2,5831213,SOX11
cg14469070,2.99E-05,0.004139655,134.7319322,-4.321252269,0.022160483,0.040048978,-0.026075607,-0.009701383,chr20,36148803,BLCAP
cg11856822,3.12E-05,0.003723193,102.6035758,-4.358284575,0.011562089,0.027788822,-0.023611147,-0.00884232,chr1,247274777,C1orf229
cg12532477,3.19E-05,0.006426784,117.3617112,-4.32727878,0.027157073,0.054967558,-0.040537983,-0.015082986,chr16,75529504,CHST6
cg17641857,3.23E-05,0.001390528,119.4949527,-4.320743398,0.007203837,0.013211953,-0.008761384,-0.003254848,chr3,126243285,CHST13
cg27169020,3.30E-05,0.006370661,105.2401398,-4.33869518,0.027477752,0.055118108,-0.040271863,-0.015008848,chr15,83954229,BNC1
cg26454150,3.31E-05,0.009610579,114.1103634,-4.323124577,0.036317767,0.077865498,-0.060586016,-0.022509445,chr13,100642408,ZIC2
cg09493505,3.31E-05,0.003077629,120.3284326,-4.313447646,0.014509363,0.027784556,-0.019368515,-0.00718187,chr7,49813111,VWC2
cg00174500,3.32E-05,0.003533731,118.130317,-4.316036246,0.015797328,0.031049038,-0.022249378,-0.008254041,chr14,23846479,CMTM5
cg26139133,3.35E-05,0.003864404,108.3886131,-4.329338913,0.014774113,0.031504428,-0.024389923,-0.009070707,chr3,24536765,THRB-AS1
cg00343312,3.37E-05,0.002499907,139.0117106,-4.286610469,0.018183576,0.028899702,-0.015658883,-0.00577337,chr7,84816338,SEMA3D
cg03191962,3.39E-05,0.008028508,105.215885,-4.331780032,0.029498387,0.064276119,-0.050696401,-0.018859064,chr9,135753193,AK8
cg16099804,3.43E-05,0.002873157,106.1208064,-4.327344044,0.011074903,0.023508043,-0.018129379,-0.006736901,chr5,83680253,EDIL3
cg27618240,3.45E-05,0.003795039,98.39453393,-4.340802962,0.014949638,0.031423156,-0.024004272,-0.008942763,chr7,20824770,SP8
