cpg,BETA.GSE40279,SE.GSE40279,T.GSE40279,P.GSE40279,BETA.CAScov0,SE.CAScov0,T.CAScov0,P.CAScov0,CHR,BP,SYMBOL,ENSEMBL
cg00766220,148.617797,16.59617948,8.95494033,3.58E-18,37.0552561,16.59351896,2.233116205,0.025747831,chr5,72598865,TMEM174,ENSG00000164325
cg05429527,114.4938465,12.848145,8.911313388,5.04E-18,28.25856816,9.934629176,2.844451228,0.004533721,chr6,1596122,FOXC1,ENSG00000054598
cg13316619,110.1457842,12.39700712,8.884868996,6.27E-18,32.78397673,11.51177713,2.847864091,0.004485755,chr15,73314754,NEO1,ENSG00000067141
cg19299094,145.737515,16.45517891,8.856635094,7.79E-18,60.11613146,13.67412561,4.396341908,1.21E-05,chr4,25658035,SLC34A2,ENSG00000157765
cg19066078,145.3352915,16.42792979,8.846841525,8.39E-18,42.78583815,13.36471412,3.20140317,0.001407954,chr12,130571342,LINC02418,ENSG00000214039
cg03387346,131.7227862,14.89906626,8.841009493,8.94E-18,64.11865187,15.05178755,4.259869576,2.23E-05,chr5,54526536,CCNO,ENSG00000152669
cg05574357,130.3146232,14.7453623,8.837668448,9.15E-18,43.52276935,14.98106812,2.905184664,0.003746043,chr12,115134362,TBX3,ENSG00000135111
cg24611709,81.55610608,9.248030746,8.818753779,1.05E-17,21.69347661,9.26414114,2.341660849,0.019381212,chr7,96656358,DLX5,ENSG00000105880
cg07601542,111.9016497,12.74223954,8.781945222,1.43E-17,31.72315271,12.59991672,2.517727174,0.011956855,chr21,34396986,OLIG2,ENSG00000205927
cg08276171,130.1183976,14.84492146,8.76517925,1.64E-17,28.43103142,11.93404915,2.382345761,0.01737696,chr14,104850405,C14orf180,ENSG00000184601
cg09766510,164.588216,18.78918603,8.759731034,1.72E-17,35.79003039,16.44319252,2.176586472,0.029729943,chr16,87174481,C16orf95,ENSG00000260456
cg06626102,137.5705065,15.71305126,8.755174554,1.76E-17,41.25601229,13.63488235,3.025769584,0.002539382,chr5,1346156,CLPTM1L,ENSG00000049656
cg00027669,111.8989931,12.8023249,8.740521272,1.96E-17,29.15902554,11.12479294,2.621084787,0.008889568,chr17,37382699,STAC2,ENSG00000141750
cg25029998,138.6277887,15.87305265,8.733530457,2.10E-17,64.93848849,17.41064085,3.729816096,0.000201693,chr17,77147396,RBFOX3,ENSG00000167281
cg02320980,133.7465946,15.32361519,8.728135817,2.18E-17,24.72147657,9.879036529,2.502417771,0.012483397,chr10,118926615,MIR3663,ENSG00000266782
cg02053678,85.9744206,9.859491036,8.71996539,2.34E-17,32.3901044,9.629314792,3.36369774,0.000796365,chr6,166579057,TBXT,ENSG00000164458
cg09381155,154.049798,17.67287552,8.716736438,2.38E-17,41.09627505,14.5680502,2.820986645,0.004876295,chr3,134801915,EPHB1,ENSG00000154928
cg18564053,124.4149214,14.27736925,8.714134883,2.43E-17,27.77500209,12.74798728,2.178775479,0.029566402,chr1,6303793,HES3,ENSG00000173673
cg27380292,110.8708099,12.7275308,8.711101285,2.48E-17,43.11698563,14.86104483,2.901342813,0.003791914,chr13,20964888,CRYL1,ENSG00000165475
cg08354106,118.1419313,13.5618049,8.71137228,2.51E-17,48.58110791,12.63214781,3.845831178,0.000127251,chr4,7961982,ABLIM2,ENSG00000163995
cg23033691,164.556323,18.89484467,8.709059316,2.55E-17,48.7854007,13.90159751,3.509337735,0.000467944,chr11,66185611,NPAS4,ENSG00000174576
cg14178173,123.8216456,14.22462178,8.704740803,2.59E-17,48.62309654,12.82918669,3.790037337,0.000159046,chr7,157495532,PTPRN2,ENSG00000155093
cg23152772,117.9928284,13.57374206,8.692726581,2.89E-17,26.22274069,12.53278569,2.092331372,0.036644497,chr9,133813632,FIBCD1,ENSG00000130720
cg08299265,142.3783602,16.43123139,8.665105907,3.57E-17,51.26348014,13.83810469,3.704515993,0.000222643,chr12,54354414,HOTAIR,ENSG00000228630
cg23047693,165.1038672,19.05854753,8.662982684,3.69E-17,47.91251197,14.49263128,3.305991233,0.000977901,chr12,57608606,LRP1,ENSG00000123384
cg25493589,135.2481085,15.62216184,8.657451505,3.83E-17,27.97890176,12.19679512,2.293955214,0.0219865,chr3,42307193,CCK,ENSG00000187094
cg02775927,136.2079303,15.741504,8.652790122,3.95E-17,45.49279947,11.81928628,3.849031016,0.000125623,chr10,79470820,KCNMA1,ENSG00000156113
cg16462254,148.6062417,17.22634685,8.626683471,4.86E-17,48.30055665,15.43514609,3.129258147,0.001799992,chr11,131780278,NTM,ENSG00000182667
cg03707967,119.528628,13.8722206,8.616401906,5.25E-17,25.91653322,11.21941505,2.309971874,0.021079663,chr6,118097745,NUS1,ENSG00000153989
cg14840612,128.8509022,14.9687274,8.608006467,5.71E-17,33.92429764,11.88787822,2.853688185,0.004404964,chr1,18960385,PAX7,ENSG00000009709
cg08903780,123.0563754,14.30819883,8.600409938,5.97E-17,39.70890641,11.76393072,3.37547945,0.000763383,chr6,100048755,PRDM13,ENSG00000112238
cg16532606,162.5784256,18.94001147,8.58386099,6.77E-17,48.00574751,16.79400603,2.858504839,0.004339148,chr17,46036419,PRR15L,ENSG00000167183
cg24462992,131.6261226,15.33674051,8.582405274,6.89E-17,27.60420736,13.74983863,2.007602278,0.044937102,chr10,84502511,NRG3,ENSG00000185737
cg23444418,135.9000576,15.8386739,8.580267413,7.02E-17,63.99259277,14.1347095,4.527336963,6.64E-06,chr13,28547617,CDX2,ENSG00000165556
cg08066991,99.49336184,11.6251712,8.558442723,8.23E-17,43.35994173,10.10953318,4.289015225,1.96E-05,chr11,115376699,CADM1,ENSG00000182985
cg00337916,102.6223091,12.00061659,8.5514197,8.82E-17,25.15204264,10.83674884,2.320995254,0.020474655,chr7,96643686,DLX6-AS1,NA
cg15661865,117.5890458,13.75040525,8.551678561,8.88E-17,42.86359405,13.73361212,3.121072132,0.001850316,chr2,27632926,PPM1G,ENSG00000115241
cg19241744,140.3076774,16.41373252,8.548188363,9.02E-17,30.04862428,11.46006547,2.622029025,0.008865137,chr10,73078790,SLC29A3,ENSG00000198246
cg16457351,108.8698416,12.74849901,8.539816454,9.49E-17,40.7452523,10.13656917,4.019629483,6.24E-05,chr5,176297315,UNC5A,ENSG00000113763
cg15310873,140.8653995,16.4924169,8.541222334,9.60E-17,30.61552409,14.13452527,2.166010071,0.030531126,chr20,56726093,C20orf85,ENSG00000124237
cg01117274,119.6441984,14.02032969,8.533622323,1.02E-16,44.46409041,12.99580644,3.421418335,0.000646538,chr8,15094114,SGCZ,ENSG00000185053
cg25281186,207.7987161,24.43853804,8.502911089,1.29E-16,57.36194096,18.45737027,3.107806807,0.001934622,chr1,50893830,DMRTA2,ENSG00000142700
cg04221683,123.8545879,14.56787913,8.501895628,1.30E-16,38.57856019,12.70005542,3.037668649,0.002442066,chr17,3576856,P2RX5-TAX1BP3,ENSG00000257950
cg04265261,142.3871438,16.74990853,8.500771424,1.30E-16,40.78258743,13.62577523,2.993047129,0.002825598,chr9,133815865,FIBCD1,ENSG00000130720
cg10976908,124.6159162,14.67776504,8.490115205,1.42E-16,34.92130216,11.51163491,3.033565816,0.002475228,chr15,72610141,CELF6,ENSG00000140488
cg03658578,96.56767326,11.37922464,8.48631399,1.44E-16,32.32032072,10.79365344,2.99438192,0.002813368,chr3,170304031,CLDN11,ENSG00000013297
cg08524514,161.2078158,19.01851102,8.47636367,1.56E-16,37.77918618,16.20767011,2.330944913,0.019941656,chr10,50969659,NA,NA
cg12798259,125.3342835,14.78566487,8.476743154,1.57E-16,49.43721377,16.85321417,2.933399723,0.003424337,chr11,31823282,PAX6,ENSG00000007372
cg19744211,159.7783948,18.85483618,8.47413328,1.61E-16,39.6786262,15.65526128,2.53452341,0.011401943,chr14,95079224,SERPINA3,ENSG00000196136
cg09210964,129.8018457,15.33220931,8.465958366,1.68E-16,44.11046686,12.78017143,3.451476929,0.000579343,chr12,54351994,HOXC12,ENSG00000123407
cg08665772,122.0251106,14.43003878,8.456325893,1.83E-16,45.99936913,12.89925874,3.566047481,0.000378456,chr1,160051377,KCNJ9,ENSG00000162728
cg22229142,153.6667124,18.17695515,8.453930328,1.87E-16,74.59330746,17.06039015,4.372309589,1.35E-05,chr22,37447306,KCTD17,ENSG00000100379
cg23094961,96.75913784,11.45014443,8.450473128,1.91E-16,33.77556665,10.14792238,3.328323315,0.000903519,chr2,207506535,FAM237A,ENSG00000235118
cg05073130,125.9192215,14.90507114,8.448079203,1.93E-16,28.63638166,12.58775963,2.274938711,0.023107155,chr7,150715634,ATG9B,ENSG00000181652
cg20276677,118.5263061,14.03542098,8.44479879,1.99E-16,52.05828,11.87472407,4.383957026,1.28E-05,chr7,34697855,NPSR1-AS1,ENSG00000197085
cg03961481,93.31300961,11.05109538,8.443779223,2.00E-16,38.03506442,13.73367837,2.769473946,0.005711956,chr16,51180521,SALL1,ENSG00000103449
cg01763890,228.1254611,27.04529585,8.434940491,2.19E-16,47.59263718,20.9207857,2.274897218,0.023109654,chr5,76936793,OTP,ENSG00000171540
cg14067101,164.5796482,19.52130954,8.43076884,2.26E-16,69.90313653,17.64521403,3.961591874,7.94E-05,chr9,975825,DMRT3,ENSG00000064218
cg06616976,128.0307987,15.22110717,8.411398541,2.55E-16,58.55557912,15.53305609,3.769739758,0.000172368,chr7,1361231,UNCX,ENSG00000164853
cg17020726,111.648916,13.27454032,8.410755723,2.59E-16,46.88627753,10.78643664,4.346780969,1.51E-05,chr2,73122091,SPR,ENSG00000116096
cg06822995,142.1095726,16.90365713,8.407031179,2.71E-16,64.30906982,15.82995717,4.062491714,5.21E-05,chr5,110559431,CAMK4,ENSG00000152495
cg13588354,105.1263228,12.50965666,8.403613757,2.72E-16,31.50029701,9.83350907,3.203362786,0.001398499,chr20,54823303,MC3R,ENSG00000124089
cg01422797,218.0002167,25.9341303,8.4059197,2.72E-16,47.79132939,21.13753582,2.260969764,0.023961695,chr6,100053305,PRDM13,ENSG00000112238
cg11079129,214.5385057,25.5686388,8.390689369,3.09E-16,72.64256766,20.88554989,3.478125692,0.000525274,chr5,172669916,NKX2-5,ENSG00000183072
cg22116328,105.7129754,12.62664085,8.372216855,3.46E-16,37.49754457,10.69406796,3.506387345,0.000473102,chr2,240868565,MIR4786,ENSG00000264279
cg15833657,97.74647879,11.67503862,8.372261711,3.50E-16,31.82695389,10.12734874,3.142673834,0.001720234,chr7,139207971,CLEC2L,ENSG00000236279
cg12492938,102.7172974,12.28612553,8.360430398,3.80E-16,33.20987438,9.933137281,3.343341931,0.000856487,chr12,114025383,LHX5,ENSG00000089116
cg15291243,120.973597,14.48739499,8.350265668,4.13E-16,30.5572631,15.06536381,2.028312325,0.042776167,chr17,35298199,LHX1,ENSG00000273706
cg13169968,73.43028608,8.80274362,8.341749941,4.37E-16,35.92530777,9.233377838,3.890808802,0.000106092,chr1,230563798,PGBD5,ENSG00000177614
cg22658758,225.4114397,27.04438548,8.334870093,4.70E-16,68.1352674,22.52794255,3.024478035,0.002550155,chr5,92935309,NR2F1,ENSG00000175745
cg26917999,118.4436499,14.21802556,8.330527284,4.85E-16,51.64620949,13.41733018,3.849216559,0.000125529,chr8,20112890,LZTS1,ENSG00000061337
cg00811334,88.74268558,10.65514426,8.328623566,4.86E-16,29.4880414,9.000845811,3.276141156,0.001086206,chr2,79739254,CTNNA2,ENSG00000066032
cg05282437,118.8627778,14.28222926,8.322424718,5.09E-16,39.44630879,12.84779843,3.070277682,0.00219263,chr20,61936520,COL20A1,ENSG00000101203
cg16488565,128.4950298,15.44180291,8.321245297,5.23E-16,54.09141227,16.14187866,3.350998568,0.000833395,chr7,55213038,EGFR,ENSG00000146648
cg03866831,100.2113749,12.04827447,8.317487711,5.29E-16,38.07600616,11.04502689,3.447343908,0.00058818,chr16,9849427,GRIN2A,ENSG00000183454
cg03510605,126.5698526,15.21924019,8.316437026,5.32E-16,45.86706865,15.54917528,2.949807165,0.003249049,chr12,115104734,TBX3,ENSG00000135111
cg12827555,217.978694,26.21509437,8.315007031,5.42E-16,47.30743929,19.96295576,2.369761265,0.017976528,chr14,74706031,VSX2,ENSG00000119614
cg13288545,80.26903463,9.655234932,8.313524756,5.42E-16,30.23974751,8.784380989,3.442444897,0.000598817,chr8,145558858,SCRT1,ENSG00000261678
cg06035531,178.842498,21.5179824,8.311304224,5.56E-16,46.22460153,15.56747681,2.96930595,0.0030514,chr6,100056127,PRDM13,ENSG00000112238
cg05972503,123.2757434,14.84017166,8.306894709,5.69E-16,32.16884804,11.53320256,2.789238104,0.005377135,chr15,89901456,MIR9-3,ENSG00000284329
cg15764067,107.8208508,12.98494069,8.303530477,5.93E-16,33.91331921,9.92450603,3.417129186,0.000656698,chr13,28374053,GSX1,ENSG00000169840
cg16138181,114.89605,13.84621842,8.298009359,6.16E-16,34.09476895,11.40481188,2.989507351,0.002858265,chr1,22930977,EPHA8,ENSG00000070886
cg06059616,78.83648069,9.501685949,8.297104441,6.22E-16,34.73140074,8.996553567,3.860522864,0.000119936,chr8,109092720,RSPO2,ENSG00000147655
cg09207762,103.909774,12.53255653,8.291187337,6.41E-16,31.90181073,9.805616977,3.253422074,0.001175971,chr6,10393497,TFAP2A,ENSG00000137203
cg17677987,130.6574807,15.77683182,8.281604456,6.90E-16,38.99162411,13.47657292,2.893289292,0.003889734,chr17,13018217,ELAC2,ENSG00000006744
cg15940569,98.41346951,11.88501358,8.280467567,6.97E-16,24.37981149,10.21752192,2.386078708,0.01720252,chr15,27019356,GABRB3,ENSG00000166206
cg00666903,125.0699721,15.11198253,8.276212064,7.22E-16,36.36421835,13.63148225,2.667664284,0.007753644,chr12,2861589,ITFG2-AS1,ENSG00000256150
cg05178136,116.4553623,14.07223983,8.275538487,7.28E-16,39.47810996,12.76489953,3.092708239,0.002034868,chr11,133584569,SPATA19,ENSG00000166118
cg10294474,112.4257579,13.58803269,8.27388044,7.39E-16,41.19919077,11.32375741,3.638296838,0.000287567,chr16,49090004,CBLN1,ENSG00000102924
cg06144990,130.0928305,15.73461728,8.267937388,7.77E-16,55.20663631,13.00812496,4.244011836,2.39E-05,chr12,50347628,AQP2,ENSG00000167580
cg06191260,80.85378889,9.780628368,8.266727438,7.78E-16,34.00282699,8.625793076,3.941994283,8.61E-05,chr18,48088362,MAPK4,ENSG00000141639
cg04704219,119.1375916,14.41130221,8.26695533,7.80E-16,38.4568336,11.74105388,3.27541582,0.001088971,chr1,156819393,INSRR,ENSG00000027644
cg07436224,109.3731441,13.23213336,8.265722623,7.84E-16,42.52825381,11.66776852,3.644934654,0.000280335,chr22,30115348,CABP7,ENSG00000100314
cg06783429,86.92153516,10.51901711,8.263275383,7.91E-16,24.32269728,8.488291112,2.865440989,0.004245938,chr7,127673038,SND1,ENSG00000197157
cg02932854,126.6255967,15.33133207,8.259269064,8.23E-16,45.15853608,15.13033466,2.984635641,0.00290379,chr7,75444115,CCL24,ENSG00000106178
cg16805360,102.6220582,12.42593267,8.258700648,8.39E-16,44.37064866,14.42857117,3.075193527,0.002157124,chr12,114845223,TBX5,ENSG00000089225
cg13981360,94.75377587,11.47757995,8.255553548,8.53E-16,24.01715376,11.26554626,2.131912044,0.033241786,chr15,78113237,GOLGA6FP,NA
cg17249170,237.9469571,28.8295281,8.253584877,8.64E-16,42.24647036,17.56926094,2.4045673,0.016361038,chr10,119305798,EMX2,ENSG00000170370
cg13552869,135.0253679,16.35991925,8.253425085,8.69E-16,40.81138343,13.17743157,3.097066619,0.002005452,chr16,29909924,SLX1B-SULT1A4,ENSG00000260280
cg26621770,119.5269444,14.48915084,8.249409904,8.94E-16,46.86224767,14.69215493,3.18961023,0.001466111,chr12,115131447,TBX3,ENSG00000135111
cg24476826,99.89958175,12.11324693,8.247134921,9.02E-16,43.74109872,11.92472033,3.668102689,0.000256408,chr15,29904571,FAM189A1,ENSG00000104059
cg19738506,117.560553,14.26226726,8.242767496,9.33E-16,38.03400947,12.47675244,3.048390168,0.002357321,chr1,29138162,OPRD1,ENSG00000116329
cg01471111,122.0099807,14.85178532,8.215172659,1.16E-15,52.29728715,12.22045516,4.279487669,2.04E-05,chr12,372246,SLC6A13,ENSG00000010379
cg18771937,91.68699619,11.16260128,8.213766121,1.17E-15,23.55231179,9.565685124,2.462166744,0.013967106,chr12,54385517,MIR196A2,ENSG00000207924
cg26506288,122.5144207,14.9226776,8.209948908,1.20E-15,37.4238303,12.82956898,2.916998252,0.003608137,chr17,46804123,HOXB13,ENSG00000159184
cg11620409,104.0203002,12.68033374,8.203277799,1.25E-15,49.08089048,12.47612551,3.93398499,8.89E-05,chr11,61519687,MYRF,ENSG00000124920
cg15909232,94.33375739,11.49828657,8.204157796,1.25E-15,30.81213961,11.64588739,2.645752838,0.008270687,chr7,156235420,LOC285889,NA
cg11885098,165.7359056,20.21203053,8.199864201,1.28E-15,42.96141826,17.04933213,2.519829982,0.011886094,chr19,1285397,EFNA2,ENSG00000099617
cg06392169,270.9010881,33.037064,8.199914137,1.31E-15,126.3206239,43.12936445,2.928877471,0.003474144,chr6,391936,IRF4,ENSG00000137265
cg12800028,112.3245745,13.70773912,8.194245126,1.36E-15,37.79619969,12.09089938,3.12600399,0.001819844,chr6,110300146,GPR6,ENSG00000146360
cg02766173,137.1065528,16.73474775,8.192926169,1.36E-15,24.58103754,12.2653593,2.004102525,0.045311232,chr4,6475182,PPP2R2C,ENSG00000074211
cg00984009,136.2642361,16.63635726,8.190749574,1.39E-15,47.39454482,14.64411847,3.236421838,0.001247578,chr7,131657233,PLXNA4,ENSG00000221866
cg10127085,114.4623796,13.98375104,8.185384542,1.44E-15,32.93448548,13.29952935,2.476364736,0.013426841,chr11,61332706,SYT7,ENSG00000011347
cg19193931,206.9091187,25.27857978,8.185155987,1.45E-15,49.03655541,13.90844737,3.525667108,0.000440333,chr21,38081976,SIM2,ENSG00000159263
cg04295543,165.2903437,20.21660788,8.175968224,1.55E-15,46.87796298,14.78784433,3.170033572,0.00156757,chr1,244080447,LINC02774,ENSG00000226828
cg03997663,172.4074383,21.09069305,8.17457434,1.58E-15,38.02813073,19.23359002,1.977172784,0.048278942,chr4,185940024,HELT,ENSG00000187821
cg17363540,105.7780514,12.94763639,8.169680408,1.62E-15,47.04654756,10.22044815,4.603178535,4.66E-06,chr11,57001479,APLNR,ENSG00000134817
cg01389917,118.8635756,14.5589693,8.164285066,1.69E-15,24.7053519,12.17384002,2.029380364,0.042667152,chr17,1956668,HIC1,ENSG00000177374
cg02680314,143.3798742,17.57225673,8.159445678,1.78E-15,47.21765899,12.2594361,3.851535959,0.000124362,chr16,3097387,MMP25,ENSG00000008516
cg00377915,106.1545614,13.01755966,8.154720562,1.81E-15,33.2977752,10.26054907,3.245223523,0.001210016,chr10,70631035,STOX1,ENSG00000165730
cg13859324,169.3707789,20.77031456,8.154463836,1.83E-15,51.58306549,21.14599035,2.439378088,0.014874491,chr17,33474692,UNC45B,ENSG00000141161
cg06178055,101.004956,12.39880109,8.146348605,1.94E-15,44.74517692,12.0050935,3.727182709,0.000203784,chr4,189029280,TRIML2,ENSG00000179046
cg09749813,207.5582225,25.5025572,8.138721967,2.07E-15,42.1291077,20.462029,2.058891995,0.039746662,chr6,85474209,TBX18,ENSG00000112837
cg15388804,105.2627436,12.93565226,8.137412905,2.08E-15,25.3388366,11.71081252,2.163712941,0.030707572,chr14,36993079,NKX2-1,ENSG00000136352
cg12597066,93.48723963,11.49702073,8.131431772,2.16E-15,33.48840658,8.987263896,3.726207104,0.000204564,chr17,16473468,ZNF287,ENSG00000141040
cg01719832,124.0239651,15.25678255,8.129103542,2.20E-15,58.85614645,13.69762992,4.296812427,1.89E-05,chr1,11752772,DRAXIN,ENSG00000162490
cg20486246,152.2797789,18.73200229,8.129391434,2.22E-15,48.53695098,14.87978082,3.261939915,0.001141541,chr1,27338787,TENT5B,ENSG00000158246
cg24798603,157.677175,19.43622164,8.11254255,2.48E-15,25.08645508,12.13822037,2.066732546,0.038999943,chr12,110010952,MMAB,ENSG00000139428
cg20007836,110.2908039,13.60110233,8.108960669,2.54E-15,40.91830646,14.07078967,2.908031989,0.003712373,chr17,37844870,ERBB2,ENSG00000141736
cg03479694,186.7653559,23.037994,8.106841072,2.64E-15,60.96783143,19.20236743,3.175016397,0.001541149,chr2,172953032,DLX1,ENSG00000144355
cg00256932,89.45526066,11.0419576,8.101395048,2.71E-15,31.01758047,10.03857338,3.089839492,0.002054447,chr22,51041732,MAPK8IP2,ENSG00000008735
cg11967654,208.5439814,25.73932862,8.102153111,2.72E-15,70.14997245,23.47800933,2.987901208,0.002873202,chr16,51189801,SALL1,ENSG00000103449
cg17293868,104.2273462,12.87143278,8.097571419,2.76E-15,21.11279256,10.7028956,1.972624358,0.048795988,chr10,671007,DIP2C,ENSG00000151240
cg27595512,121.2756698,14.97698712,8.097467726,2.79E-15,45.38939665,12.32011207,3.684170761,0.000240955,chr8,20162045,LZTS1-AS1,ENSG00000253733
cg17312632,96.21702351,11.89046334,8.091949048,2.91E-15,33.07553176,9.410281903,3.514829003,0.000458483,chr4,6227099,JAKMIP1-DT,NA
cg22746182,101.2676712,12.51774314,8.089930435,2.96E-15,37.19832352,11.24198355,3.308875462,0.000967985,chr8,41749867,ANK1,ENSG00000029534
cg00203124,148.0015899,18.31424755,8.081226898,3.15E-15,50.77374255,16.12045742,3.149646515,0.001680078,chr5,153860358,HAND1,ENSG00000113196
cg11178293,159.1084354,19.69435243,8.07888637,3.19E-15,57.69531828,16.98704444,3.396430644,0.00070785,chr3,62355505,FEZF2,ENSG00000153266
cg07183637,116.9047421,14.50165548,8.061475625,3.63E-15,25.06318198,10.87736048,2.304160281,0.021404862,chr6,31940692,HLA-DRB5,ENSG00000198502
cg06482830,100.91606,12.51702498,8.062303959,3.66E-15,33.48175982,12.18548089,2.747676528,0.006102962,chr16,1186203,CACNA1H,ENSG00000196557
cg18873386,169.7299645,21.05702539,8.060491039,3.69E-15,36.61093538,16.99680073,2.153989798,0.031464166,chr7,96651915,DLX5,ENSG00000105880
cg23677291,96.05669524,11.92348572,8.056091777,3.76E-15,25.46035003,11.3545076,2.242312123,0.025145786,chr11,56923527,LRRC55,ENSG00000183908
cg12801082,133.6289406,16.58634681,8.056562549,3.77E-15,39.81423577,13.15687039,3.026117502,0.002536487,chr15,44117307,MFAP1,ENSG00000140259
cg04541670,129.544899,16.0775183,8.057518367,3.78E-15,46.04569886,15.77853285,2.918249706,0.003593803,chr5,174150286,MSX2,ENSG00000120149
cg16621633,115.3658909,14.31885617,8.056920855,3.79E-15,38.55267945,14.03905256,2.746102651,0.006132108,chr16,19296418,CLEC19A,ENSG00000261210
cg21558341,124.5896829,15.46567935,8.05588168,3.81E-15,37.94394758,12.36201959,3.06939714,0.002199046,chr6,33159547,BAK1,ENSG00000030110
cg08794954,91.36294796,11.34357758,8.054156397,3.83E-15,38.28448805,11.58251084,3.305370362,0.000980048,chr11,79124571,TENM4,ENSG00000149256
cg02443626,137.6096698,17.0946519,8.049866739,3.97E-15,63.42501982,17.07041163,3.715494459,0.000213313,chr11,44335060,ALX4,ENSG00000052850
cg03261155,121.2532289,15.07760486,8.04194234,4.20E-15,73.81509697,13.23765536,5.576145846,3.11E-08,chr1,153413940,S100A7L2,NA
cg23120942,111.9495584,13.92389289,8.040104822,4.29E-15,44.69516858,12.77594724,3.498383936,0.000487363,chr17,58755752,BCAS3,ENSG00000141376
cg18565355,165.470107,20.59323404,8.035168572,4.47E-15,52.39142789,18.21802249,2.875802131,0.004110087,chr8,95653874,ESRP1,ENSG00000104413
cg06548416,117.5840951,14.63674196,8.033488287,4.48E-15,29.17037006,11.95150678,2.440727399,0.01481935,chr1,24438703,MYOM3,ENSG00000142661
cg00579960,115.1128375,14.32614319,8.035158936,4.51E-15,45.04333839,13.70126982,3.287530205,0.001043635,chr21,33102593,SCAF4,ENSG00000156304
cg16355305,85.62459075,10.66133638,8.031318748,4.54E-15,29.33283928,9.577675291,3.0626262,0.002248963,chr12,65220152,TBC1D30,ENSG00000111490
cg25781755,91.04908483,11.33859684,8.030013421,4.60E-15,33.5041785,9.976098502,3.358445037,0.000811492,chr4,13537089,LINC01097,ENSG00000281202
cg18447645,165.3934599,20.61625576,8.022478081,4.86E-15,65.58217509,21.61456266,3.034166184,0.00247035,chr7,155303298,CNPY1,ENSG00000146910
